2018-04-12 10:22:15 INFO  Tc001InvalidLogin:24 - ====Testcase start===
2018-04-12 10:22:16 INFO  LoginPage:35 - username provided[[FirefoxDriver: firefox on MAC (2a141de0-89d4-604d-b577-cdac4a8cbf70)] -> id: username]
2018-04-12 10:22:16 INFO  LoginPage:38 - password provided[[FirefoxDriver: firefox on MAC (2a141de0-89d4-604d-b577-cdac4a8cbf70)] -> name: pwd]
2018-04-12 10:22:16 INFO  LoginPage:40 - click on login btoon[[FirefoxDriver: firefox on MAC (2a141de0-89d4-604d-b577-cdac4a8cbf70)] -> id: loginButton]
2018-04-12 10:22:18 INFO  LoginPage:44 - Username or Password is invalid. Please try again.
2018-04-12 10:22:19 INFO  Tc001InvalidLogin:29 - ====Testcase END===
2018-04-12 12:08:59 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 12:09:00 INFO  LoginPage:35 - username provided[[FirefoxDriver: firefox on MAC (a4c21e31-aea0-794e-b18e-4a69c4d0a9b5)] -> id: username]
2018-04-12 12:09:00 INFO  LoginPage:38 - password provided[[FirefoxDriver: firefox on MAC (a4c21e31-aea0-794e-b18e-4a69c4d0a9b5)] -> name: pwd]
2018-04-12 12:09:00 INFO  LoginPage:40 - click on login btoon[[FirefoxDriver: firefox on MAC (a4c21e31-aea0-794e-b18e-4a69c4d0a9b5)] -> id: loginButton]
2018-04-12 12:09:00 INFO  TC0002ValidPassword:26 - ====testend===
2018-04-12 12:59:32 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 12:59:33 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (7bd699b2-f7cf-3c4d-976f-51396cd962ea)] -> id: username]
2018-04-12 12:59:33 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (7bd699b2-f7cf-3c4d-976f-51396cd962ea)] -> name: pwd]
2018-04-12 12:59:33 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (7bd699b2-f7cf-3c4d-976f-51396cd962ea)] -> id: loginButton]
2018-04-12 12:59:33 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 13:20:13 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 13:20:13 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (34325a76-743b-9341-85a6-45fb2879d433)] -> id: username]
2018-04-12 13:20:14 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (34325a76-743b-9341-85a6-45fb2879d433)] -> name: pwd]
2018-04-12 13:20:14 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (34325a76-743b-9341-85a6-45fb2879d433)] -> id: loginButton]
2018-04-12 13:20:14 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:10:02 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 16:10:03 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (7864a9e9-2cd2-e748-aaf9-3496be8c5a54)] -> id: username]
2018-04-12 16:10:03 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (7864a9e9-2cd2-e748-aaf9-3496be8c5a54)] -> name: pwd]
2018-04-12 16:10:04 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (7864a9e9-2cd2-e748-aaf9-3496be8c5a54)] -> id: loginButton]
2018-04-12 16:10:04 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:12:25 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 16:12:26 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (38766b3c-f783-6843-a2bf-dbb2105ac509)] -> id: username]
2018-04-12 16:12:26 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (38766b3c-f783-6843-a2bf-dbb2105ac509)] -> name: pwd]
2018-04-12 16:12:30 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (38766b3c-f783-6843-a2bf-dbb2105ac509)] -> id: loginButton]
2018-04-12 16:12:30 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:13:51 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 16:13:51 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (2759451a-864c-cf41-8c48-03825c8acdaa)] -> id: username]
2018-04-12 16:13:52 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (2759451a-864c-cf41-8c48-03825c8acdaa)] -> name: pwd]
2018-04-12 16:13:52 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (2759451a-864c-cf41-8c48-03825c8acdaa)] -> id: loginButton]
2018-04-12 16:13:52 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:19:48 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 16:19:48 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (60d62215-919b-6f4a-b185-336859b5c4b3)] -> id: username]
2018-04-12 16:19:49 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (60d62215-919b-6f4a-b185-336859b5c4b3)] -> name: pwd]
2018-04-12 16:19:50 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (60d62215-919b-6f4a-b185-336859b5c4b3)] -> id: loginButton]
2018-04-12 16:19:50 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:19:53 INFO  TC0002ValidPassword:27 - ====testend===
2018-04-12 16:21:18 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-12 16:21:18 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (90c94ace-4a56-6249-9e14-80cf774fbf28)] -> id: username]
2018-04-12 16:21:19 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (90c94ace-4a56-6249-9e14-80cf774fbf28)] -> name: pwd]
2018-04-12 16:22:24 INFO  LoginPage:42 - click on login btoonProxy element for: DefaultElementLocator 'By.id: loginButton'
2018-04-12 16:22:24 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-12 16:22:24 INFO  TC0002ValidPassword:27 - ====testend===
2018-04-13 13:32:22 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-13 13:32:22 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> id: username]
2018-04-13 13:32:22 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> name: pwd]
2018-04-13 13:32:23 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> id: loginButton]
2018-04-13 13:32:23 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-13 13:35:25 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-13 13:35:25 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (491867c8-4215-c547-bfb7-cd7b22430be5)] -> id: username]
2018-04-13 13:35:25 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (491867c8-4215-c547-bfb7-cd7b22430be5)] -> name: pwd]
